short_name,long_name,nationality,club
Alex Sandro,Alex Sandro Lobo Silva,Brazil,Juventus
Iago Aspas,Iago Aspas Juncal,Spain,RC Celta
Koke,Jorge Resurrección Merodio,Spain,Atlético Madrid
J. Rodríguez,James David Rodríguez Rubio,Colombia,Real Madrid
Allan,Allan Marques Loureiro,Brazil,Napoli
J. Sancho,Jadon Sancho,England,Borussia Dortmund
K. Havertz,Kai Havertz,Germany,Bayer 04 Leverkusen
O. Dembélé,Ousmane Dembélé,France,FC Barcelona
Kepa,Kepa Arrizabalaga,Spain,Chelsea
João Cancelo,João Pedro Cavaco Cancelo,Portugal,Manchester City
D. Alli,Bamidele Alli,England,Tottenham Hotspur
L. Hernández,Lucas Hernández,France,FC Bayern München
Arthur,Arthur Henrique Ramos Oliveira Melo,Brazil,FC Barcelona
M. Depay,Memphis Depay,Netherlands,Olympique Lyonnais
L. Goretzka,Leon Goretzka,Germany,FC Bayern München
J. Brandt,Julian Brandt,Germany,Borussia Dortmund
K. Coman,Kingsley Coman,France,FC Bayern München
S. Gnabry,Serge Gnabry,Germany,FC Bayern München
N. Fekir,Nabil Fekir,France,Real Betis
B. Leno,Bernd Leno,Germany,Arsenal
Luis Alberto,Luis Alberto Romero Alconchel,Spain,Lazio
Alex Telles,Alex Nicolao Telles,Brazil,FC Porto
J. Pavlenka,Jiří Pavlenka,Czech Republic,SV Werder Bremen
S. de Vrij,Stefan de Vrij,Netherlands,Inter
Felipe Anderson,Felipe  Anderson Pereira Gomes,Brazil,West Ham United
Pepe,Képler Laveran Lima Ferreira,Portugal,FC Porto
João Moutinho,João Filipe Iria Santos Moutinho,Portugal,Wolverhampton Wanderers
S. Ruffier,Stéphane Ruffier,France,AS Saint-Étienne
S. Sirigu,Salvatore Sirigu,Italy,Torino
M. Hamšík,Marek Hamšík,Slovakia,Dalian YiFang FC
Sokratis,Sokratis Papastathopoulos,Greece,Arsenal
Lucas Leiva,Lucas  Pezzini Leiva,Brazil,Lazio
M. Özil,Mesut Özil,Germany,Arsenal
Javi Martínez,Javier Martínez Aginaga,Spain,FC Bayern München
Y. Sommer,Yann Sommer,Switzerland,Borussia Mönchengladbach
E. Džeko,Edin Džeko,Bosnia Herzegovina,Roma
G. Wijnaldum,Georginio Wijnaldum,Netherlands,Liverpool
I. Perišić,Ivan Perišić,Croatia,FC Bayern München
M. Mandžukić,Mario Mandžukić,Croatia,Juventus
A. Vidal,Arturo Vidal,Chile,FC Barcelona
J. Boateng,Jérôme Boateng,Germany,FC Bayern München
Azpilicueta,César Azpilicueta Tanco,Spain,Chelsea
José Callejón,José María Callejón Bueno,Spain,Napoli
I. Gündoğan,İlkay Gündoğan,Germany,Manchester City
Paulinho,José Paulo Bezzera Maciel Júnior,Brazil,Guangzhou Evergrande Taobao FC
K. Walker,Kyle Walker,England,Manchester City
Canales,Sergio Canales Madrazo,Spain,Real Betis
Douglas Costa,Douglas Costa de Souza,Brazil,Juventus
Pizzi,Luís Miguel Afonso Fernandes,Portugal,SL Benfica
D. Tadić,Dušan Tadić,Serbia,Ajax
J. Iličić,Josip Iličić,Slovenia,Atalanta
R. Mahrez,Riyad Mahrez,Algeria,Manchester City
E. Višća,Edin Višća,Bosnia Herzegovina,Medipol Başakşehir FK
Felipe,Felipe Augusto de Almeida Monteiro,Brazil,Atlético Madrid
Fabián,Fabián Ruiz Peña,Spain,Napoli
A. Romagnoli,Alessio Romagnoli,Italy,Milan
G. Lo Celso,Giovani Lo Celso,Argentina,Tottenham Hotspur
T. Alexander-Arnold,Trent Alexander-Arnold,England,Liverpool
L. Jović,Luka Jović,Serbia,Real Madrid
A. Milik,Arkadiusz Milik,Poland,Napoli
A. Martial,Anthony Martial,France,Manchester United
Anderson Talisca,Anderson Souza Conceição,Brazil,Guangzhou Evergrande Taobao FC
J. Tah,Jonathan Tah,Germany,Bayer 04 Leverkusen
C. Tolisso,Corentin Tolisso,France,FC Bayern München
Pau López,Pau López Sabata,Spain,Roma
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,Portugal,Valencia CF
N. Pépé,Nicolas Pépé,Ivory Coast,Arsenal
M. Akanji,Manuel Obafemi Akanji,Switzerland,Borussia Dortmund
M. Rashford,Marcus Rashford,England,Manchester United
J. Stones,John Stones,England,Manchester City
A. Rabiot,Adrien Rabiot,France,Juventus
Grimaldo,Alejandro Grimaldo García,Spain,SL Benfica
T. Werner,Timo Werner,Germany,RB Leipzig
T. Lemar,Thomas Lemar,France,Atlético Madrid
D. Sánchez,Davinson Sánchez,Colombia,Tottenham Hotspur
Marco Asensio,Marco Asensio Willemsen,Spain,Real Madrid
L. Digne,Lucas Digne,France,Everton
J. Draxler,Julian Draxler,Germany,Paris Saint-Germain
J. Pickford,Jordan Pickford,England,Everton
Y. Carrasco,Yannick Ferreira Carrasco,Belgium,Dalian YiFang FC
Borja Iglesias,Borja Iglesias Quintas,Spain,Real Betis
K. Casteels,Koen Casteels,Belgium,VfL Wolfsburg
W. Zaha,Wilfried Zaha,Ivory Coast,Crystal Palace
Paco Alcácer,Francisco Alcácer García,Spain,Borussia Dortmund
Morata,Álvaro Borja Morata Martín,Spain,Atlético Madrid
S. Haller,Sébastien Haller,France,West Ham United
William Carvalho,William Silva de Carvalho,Portugal,Real Betis
F. Bernardeschi,Federico Bernardeschi,Italy,Juventus
D. Djené,Djené Dakonam Ortega,Togo,Getafe CF
Oscar,Oscar dos Santos Emboaba Júnior,Brazil,Shanghai SIPG FC
K. Trapp,Kevin Trapp,Germany,Eintracht Frankfurt
Bartra,Marc Bartra Aregall,Spain,Real Betis
Pablo Sarabia,Pablo Sarabia García,Spain,Paris Saint-Germain
J. Cillessen,Jasper Cillessen,Netherlands,Valencia CF
Lucas Moura,Lucas Rodrigues M. Silva,Brazil,Tottenham Hotspur
F. Thauvin,Florian Thauvin,France,Olympique de Marseille
Jorginho,Luiz Frello Filho Jorge,Italy,Chelsea
G. Buffon,Gianluigi Buffon,Italy,Juventus
Casillas,Iker Casillas Fernández,Spain,FC Porto
R. Jarstein,Rune  Almenning Jarstein,Norway,Hertha BSC
V. Kompany,Vincent Kompany,Belgium,RSC Anderlecht
Raúl Albiol,Raúl Albiol Tortajada,Spain,Villarreal CF
F. Quagliarella,Fabio Quagliarella,Italy,Sampdoria
K. Schmeichel,Kasper Schmeichel,Denmark,Leicester City
Falcao,Radamel Falcao García Zárate,Colombia,AS Monaco
Miranda,João Miranda de Souza Filho,Brazil,Jiangsu Suning FC
C. Vela,Carlos Alberto Vela Garrido,Mexico,Los Angeles FC
E. Garay,Ezequiel Marcelo Garay,Argentina,Valencia CF
Rui Patrício,Rui Pedro dos Santos Patrício,Portugal,Wolverhampton Wanderers
R. Nainggolan,Radja Nainggolan,Belgium,Cagliari
E. Banega,Éver Maximiliano David Banega,Argentina,Sevilla FC
Diego Costa,Diego da Silva Costa,Spain,Atlético Madrid
S. Khedira,Sami Khedira,Germany,Juventus
David Luiz,David Luiz Moreira Marinho,Brazil,Arsenal
M. Kruse,Max Kruse,Germany,Fenerbahçe SK
J. Henderson,Jordan Brian Henderson,England,Liverpool
G. Sigurðsson,Gylfi Þór Sigurðsson,Iceland,Everton
A. Ramsey,Aaron Ramsey,Wales,Juventus
Illarramendi,Asier Illarramendi Andonegi,Spain,Real Sociedad
D. Blind,Daley Blind,Netherlands,Ajax
L. Hrádecký,Lukáš Hrádecký,Finland,Bayer 04 Leverkusen
N. Otamendi,Nicolás Hernán Otamendi,Argentina,Manchester City
J. Cuadrado,Juan Cuadrado,Colombia,Juventus
I. Gueye,Idrissa Gana Gueye,Senegal,Paris Saint-Germain
K. Kampl,Kevin Kampl,Slovenia,RB Leipzig
Rodrigo,Rodrigo Moreno Machado,Spain,Valencia CF
C. Aránguiz,Charles Mariano Aránguiz Sandoval,Chile,Bayer 04 Leverkusen
W. Ben Yedder,Wissam Ben Yedder,France,AS Monaco
F. Acerbi,Francesco Acerbi,Italy,Lazio
Danilo Pereira,Danilo Luís Hélio Pereira,Portugal,FC Porto
A. Kramarić,Andrej Kramarić,Croatia,TSG 1899 Hoffenheim
Louri Beretta,Lourival Adnan Beretta Barbosa,Brazil,Atlético Mineiro
Josué Chiamulera,Josué Durval Chiamulera Vaz,Brazil,Grêmio
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,Brazil,Grêmio
Oyarzabal,Mikel Oyarzabal Ugarte,Spain,Real Sociedad
L. Bailey,Leon Bailey Butler,Jamaica,Bayer 04 Leverkusen
Gabriel Jesus,Gabriel Fernando de Jesus,Brazil,Manchester City
M. Kovačić,Mateo Kovačić,Croatia,Chelsea
A. Belotti,Andrea Belotti,Italy,Torino
T. Strakosha,Thomas Strakosha,Albania,Lazio
N. Keïta,Naby Keïta,Guinea,Liverpool
L. Torreira,Lucas Torreira Di Pascua,Uruguay,Arsenal
Rúben Neves,Rúben Diogo da Silva Neves,Portugal,Wolverhampton Wanderers
P. Kimpembe,Presnel Kimpembe,France,Paris Saint-Germain
S. Bergwijn,Steven Bergwijn,Netherlands,PSV
A. Onana,André Onana,Cameroon,Ajax
Nélson Semedo,Nélson Cabral Semedo,Portugal,FC Barcelona
A. Areola,Alphonse Areola,France,Paris Saint-Germain
M. Perin,Mattia Perin,Italy,Juventus
D. Rugani,Daniele Rugani,Italy,Juventus
A. Correa,Ángel Correa,Argentina,Atlético Madrid
Iñaki Williams,Iñaki Williams Arthuer,Spain,Athletic Club de Bilbao
H. Lozano,Hirving Rodrigo Lozano Bahena,Mexico,PSV
Gelson Martins,Gelson Dany Batalha Martins,Portugal,AS Monaco
B. Lecomte,Benjamin Lecomte,France,AS Monaco
T. Partey,Thomas Partey,Ghana,Atlético Madrid
K. Demirbay,Kerem Demirbay,Germany,Bayer 04 Leverkusen
J. Matip,Joël Andre Job Matip,Cameroon,Liverpool
Suso,Jesús Joaquín Fernández Sáez,Spain,Milan
S. Savić,Stefan Savić,Montenegro,Atlético Madrid
A. Rüdiger,Antonio Rüdiger,Germany,Chelsea
Pacheco,Fernando Pacheco Flores,Spain,Deportivo Alavés
Ricardo Pereira,Ricardo Barbosa Pereira,Portugal,Leicester City
N. Tagliafico,Nicolás Alejandro Tagliafico,Argentina,Ajax
David Soria,David Soria Solís,Spain,Getafe CF
Sergio Asenjo,Sergio  Asenjo Andrés,Spain,Villarreal CF
Muniain,Iker Muniain Goñi,Spain,Athletic Club de Bilbao
M. Götze,Mario Götze,Germany,Borussia Dortmund
T. Delaney,Thomas Delaney,Denmark,Borussia Dortmund
O. Baumann,Oliver Baumann,Germany,TSG 1899 Hoffenheim
Willian José,Willian José da Silva,Brazil,Real Sociedad
Sergi Roberto,Sergio Roberto Carnicer,Spain,FC Barcelona
N. Schulz,Nico Schulz,Germany,Borussia Dortmund
K. Volland,Kevin Volland,Germany,Bayer 04 Leverkusen
Nacho Fernández,José Ignacio Fernández Iglesias,Spain,Real Madrid
Gabriel Paulista,Gabriel Armando de Abreu,Brazil,Valencia CF
J. Roussillon,Jérôme Roussillon,France,VfL Wolfsburg
H. Maguire,Harry Maguire,England,Manchester United
