short_name,long_name,nationality,club
B. Hrgota,Branimir Hrgota,Sweden,SpVgg Greuther Fürth
R. Improta,Riccardo Improta,Italy,Benevento
H. Quiñones,Héctor Andrés Quiñónes Cortés,Colombia,América de Cali
A. Farrell,Andrew Farrell,United States,New England Revolution
J. Osorio,Jonathan Osorio,Canada,Toronto FC
S. O'Donnell,Stephen O'Donnell,Scotland,Kilmarnock
A. Rocha,Aldo Rocha,Mexico,Monarcas Morelia
J. Quiñones,Julián Alveiro Quiñónes García,Colombia,Deportes Tolima
M. Navarrete,Matías Cristóbal Navarrete Fuentes,Chile,Unión La Calera
O. Benítez,Óscar Benítez,Argentina,Atlético de San Luis
A. Hughes,Andrew Hughes,Wales,Preston North End
D. Rodríguez,Diego Rodríguez,Argentina,Central Córdoba
F. Fontanini,Fabricio Fontanini,Argentina,Newell's Old Boys
S. Hogan,Scott Hogan,Republic of Ireland,Stoke City
M. López,Marcos Mauro López,Argentina,Cádiz CF
Fabrício Baiano,Fabrício Santos de Jesus,Brazil,Clube Sport Marítimo
Iza Carcelén,Isaac Carcelén Valencia,Spain,Cádiz CF
E. Torregrossa,Ernesto Torregrossa,Italy,Brescia
S. Birnbaum,Steven Birnbaum,United States,DC United
R. Kurzawa,Rafał Kurzawa,Poland,Amiens SC
C. Buonaiuto,Cristian Buonaiuto,Italy,Perugia
P. Anton,Paul Viorel Anton,Romania,Romania
G. Esparza,Cristian Gabriel Esparza,Argentina,Club Atlético Colón
I. Rivero,Ignacio Rivero,Uruguay,Club Tijuana
V. Mogoș,Vasile Mogoș,Romania,US Cremonese
C. Traoré,Charles Traoré,Mali,FC Nantes
K. Hashimoto,橋本 拳人,Japan,FC Tokyo
S. Kurumaya,車屋 紳太郎,Japan,Kawasaki Frontale
Y. Gomis,Yannick Gomis,Senegal,Racing Club de Lens
R. Benzar,Romario Benzar,Romania,Lecce
J. Stojanović,Jovan Stojanović,Serbia,KV Kortrijk
C. Mandouki,Cyril Mandouki,France,Paris FC
F. Torrent,Fernando Torrent,Argentina,Arsenal de Sarandí
F. Pereyra,Fabio Pereyra,Argentina,Arsenal de Sarandí
Z. Zivkovic,Zivko Zivkovic,Serbia,PAOK
A. Morenzo,Ángel Morenzo,Ecuador,Ecuador
L. Conderia,Luis Conderia,Ecuador,Ecuador
C. Lendezo,Carlos Lendezo,Ecuador,Ecuador
Rúben Fernandes,Ruben Miguel  Marques dos Santos Fernandes,Portugal,Gil Vicente FC
K. Beckerman,Kyle Beckerman,United States,Real Salt Lake
A. Farnerud,Alexander Farnerud,Sweden,Helsingborgs IF
C. Brunt,Chris Brunt,Northern Ireland,West Bromwich Albion
W. Routledge,Wayne Routledge,England,Swansea City
J. Valdés,Jaime Andrés Valdés Zapata,Chile,Colo-Colo
G. Pegolo,Gianluca Pegolo,Italy,Sassuolo
R. Ziegler,Reto Ziegler,Switzerland,FC Dallas
G. McAuley,Gareth McAuley,Northern Ireland,Northern Ireland
Nino,Juan Francisco Martínez Modesto,Spain,Elche CF
M. Dawson,Michael  Dawson,England,Nottingham Forest
H. Campagnaro,Hugo Armando Campagnaro,Argentina,Pescara
O. Çek,Özgür Çek,Turkey,Kasimpaşa SK
H. Arıkan,Hakan Arıkan,Turkey,Kayserispor
U. Bulut,Umut Bulut,Turkey,Kayserispor
G. Tamaș,Gabriel Sebastian Tamaş,Romania,Astra Giurgiu
Alexis,Alexis Ruano Delgado,Spain,Racing Santander
D. Gastaldello,Daniele Gastaldello,Italy,Brescia
D. Moscardelli,Davide Moscardelli,Italy,Pisa
Y. Ayhan,Yalçın Ayhan,Turkey,MKE Ankaragücü
T. Acar,Tolgahan Acar,Turkey,Denizlispor
Dorca,Albert Dorca Masó,Spain,AD Alcorcón
Rubén,Rubén Iván Martínez Andrade,Spain,CA Osasuna
P. Kieszek,Paweł Kieszek,Poland,Rio Ave FC
E. Calaiò,Emanuele Calaiò,Italy,US Salernitana 1919
W. Hoolahan,Wes Hoolahan,Republic of Ireland,Newcastle Jets
B. Johnson,Bradley Johnson,England,Blackburn Rovers
L. Clarke,Leon Clarke,England,Sheffield United
B. Białkowski,Bartosz Białkowski,Poland,Millwall
Pedro López,Pedro López Muñoz,Spain,SD Huesca
Zheng Zhi,郑智,China PR,Guangzhou Evergrande Taobao FC
Gao Lin,郜林,China PR,Guangzhou Evergrande Taobao FC
C. Bryson,Craig Bryson,Scotland,Aberdeen
Casadesús,Víctor Manuel Casadesús Castaño,Spain,AD Alcorcón
A. Baumjohann,Alexander Baumjohann,Germany,Sydney FC
J. Ruddy,John Ruddy,England,Wolverhampton Wanderers
J. Hayes,Jonny Hayes,Republic of Ireland,Celtic
G. Leadbitter,Grant Leadbitter,England,Sunderland
A. Williams,Ashley Williams,Wales,Wales
A. Le Fondre,Adam Le Fondre,England,Sydney FC
N. Onuoha,Chinedum Onuoha,England,Real Salt Lake
Pita,Carlos Pita González,Spain,CD Lugo
J. Dahlin,Johan Dahlin,Sweden,Malmö FF
T. Hoogland,Tim Hoogland,Germany,Melbourne Victory
S. Fletcher,Steven Fletcher,Scotland,Sheffield Wednesday
M. Parkhurst,Michael Parkhurst,United States,Atlanta United
C. Jerome,Cameron Jerome,England,Göztepe SK
M. Izco,Mariano Julio Izco,Argentina,Castellammare di Stabia
Molinero,Francisco José Molinero Calderón,Spain,Real Sporting de Gijón
M. Pugh,Marc Pugh,England,Queens Park Rangers
K. Lafferty,Kyle Lafferty,Northern Ireland,Northern Ireland
K. Árnason,Kári Árnason,Iceland,Iceland
Danilo Silva,Danilo Aparecido da Silva,Brazil,Los Angeles FC
A. Aldrete,Adrián Alexei Aldrete Rodríguez,Mexico,Cruz Azul
R. Elliot,Rob Elliot,Republic of Ireland,Newcastle United
Adriano Mezavilla,Adriano Sartorio Mezavilla,Brazil,Castellammare di Stabia
A. Ramírez,Aldo Leao Ramírez Sierra,Colombia,Rionegro Águilas
Z. Kuzmanović,Zdravko Kuzmanović,Serbia,FC Basel 1893
S. Allagui,Sami Allagui,Tunisia,Royal Excel Mouscron
R. Riou,Rémy Riou,France,Stade Malherbe Caen
M. Fraga,Miguel Ángel Fraga Licona,Mexico,U.N.A.M.
F. Campbell,Fraizer Campbell,England,Huddersfield Town
J. Maghoma,Jacques Maghoma,DR Congo,Birmingham City
S. Hutchinson,Sam  Hutchinson,England,Sheffield Wednesday
Hugo Vieira,Hugo Filipe da Costa Oliveira,Portugal,Sivasspor
Ukra,André Filipe Alves Monteiro,Portugal,Santa Clara
A. Balzano,Antonio Balzano,Italy,Pescara
Javi Moyano,Javier Moyano Lujano,Spain,Real Valladolid CF
R. M'Bolhi,Raïs M'Bolhi Ouhab,Algeria,Ettifaq FC
G. Dorrans,Graham Dorrans,Scotland,Rangers FC
G. Peñalba,Gabriel Martín Peñalba,Argentina,Tiburones Rojos de Veracruz
P. Kanstrup,Pierre Kanstrup,Denmark,Vålerenga Fotball
B. Hämäläinen,Brian Tømming Hamalainen,Denmark,SG Dynamo Dresden
R. Leeuwin,Ramon Leeuwin,Netherlands,Odense Boldklub
A. Bonnet,Alexandre Bonnet,France,Le Havre AC
S. Marinos,Stergos Marinos,Greece,Sporting de Charleroi
N. Viola,Benito Nicolas Viola,Italy,Benevento
Manolo Reina,Manuel Reina Rodríguez,Spain,RCD Mallorca
R. Fernández,Ramón Ignacio Fernández,Argentina,CD O'Higgins
P. Barrera,Pablo Edson Barrera Acosta,Mexico,U.N.A.M.
T. Clarke,Tom Clarke,England,Preston North End
J. Pearce,Jason Pearce,England,Charlton Athletic
N. Taylor,Neil Taylor,Wales,Aston Villa
H. Kage,Hervé Kage,DR Congo,KV Kortrijk
Yeom Ki Hun,염기훈 廉基勋,Korea Republic,Suwon Samsung Bluewings
Lee Keun Ho,이근호 李根镐,Korea Republic,Ulsan Hyundai FC
M. Torrén,Miguel Ángel Torrén,Argentina,Argentinos Juniors
M. Lustig,Mikael Lustig,Sweden,KAA Gent
P. Ebert,Patrick Ebert,Germany,SG Dynamo Dresden
A. Bodzek,Adam Bodzek,Poland,Fortuna Düsseldorf
I. Aissati,Ismaïl Aissati,Morocco,Denizlispor
R. Jenssen,Ruben Yttergård Jenssen,Norway,SK Brann
M. Coutadeur,Mathieu Coutadeur,France,AC Ajaccio
Chico Flores,José Manuel Flores Moreno,Spain,CF Fuenlabrada
A. Rosi,Aleandro Rosi,Italy,Perugia
M. Bruccini,Mirko Bruccini,Italy,Cosenza
Nenê,Ânderson Miguel da Silva,Brazil,Moreirense FC
S. Iacoponi,Simone Iacoponi,Italy,Parma
W. Brama,Wout Brama,Netherlands,FC Twente
A. Luci,Andrea Luci,Italy,Livorno
L. Vitale,Luigi Vitale,Italy,Hellas Verona
B. Urribarri,Bruno Saúl Urribarri,Argentina,Patronato
S. Napoleoni,Stefano Napoleoni,Italy,Medipol Başakşehir FK
S. Rieks,Søren  Krukow Rieks,Denmark,Malmö FF
Nuno Pinto,Nuno Miguel Sousa Pinto,Portugal,Vitória de Setúbal
C. Gülselam,Ceyhun Gülselam,Turkey,Alanyaspor
E. Kawashima,川島 永嗣,Japan,RC Strasbourg Alsace
A. Cissokho,Aly Cissokho,France,Antalyaspor
A. Ríos,Andrés Ríos,Argentina,San Jose Earthquakes
K. Németh,Krisztián Németh,Hungary,Sporting Kansas City
M. Drudi,Mirko Drudi,Italy,Cittadella
Wang Dalei,王大雷,China PR,Shandong Luneng TaiShan FC
Li Xuepeng,李学鹏,China PR,Guangzhou Evergrande Taobao FC
M. Männel,Martin Männel,Germany,FC Erzgebirge Aue
A. Power,Alan Power,Republic of Ireland,Kilmarnock
R. Bobadilla,Raúl Bobadilla,Paraguay,Argentinos Juniors
P. Helland,Pål André Helland,Norway,Rosenborg BK
A. Guédioura,Adlène Guédioura,Algeria,Nottingham Forest
D. Di Gennaro,Davide Di Gennaro,Italy,Castellammare di Stabia
N. Theuerkauf,Norman Theuerkauf,Germany,1. FC Heidenheim 1846
R. Tesche,Robert Tesche,Germany,VfL Bochum 1848
Y. Mollo,Yohan Mollo,France,Panathinaikos FC
G. Bruno,Gianni Bruno,Belgium,SV Zulte-Waregem
L. Vibe,Lasse Vibe,Denmark,IFK Göteborg
K. Sigþórsson,Kolbeinn Sigþórsson,Iceland,AIK
K. Wolze,Kevin Wolze,Germany,VfL Osnabrück
R. Bianco,Raffaele Bianco,Italy,Perugia
M. Mustacchio,Mattia Mustacchio,Italy,Crotone
J. Villafaña,Jorge Antonio Flores Villafaña,United States,Portland Timbers
Ricardo Machado,Ricardo Jorge Tavares Machado,Portugal,Al Taawoun
Wellington,Wellington Luís de Sousa,Brazil,Vissel Kobe
M. Larrondo,Marcelo Alejandro Larrondo Páez,Chile,Unión La Calera
M. Volta,Massimo Volta,Italy,Benevento
H. Lansbury,Henri  Lansbury,England,Aston Villa
M. Rodríguez,Matías Nicolás Rodríguez,Argentina,Universidad de Chile
R. Espinoza,Róger Espinoza Ramírez,Honduras,Sporting Kansas City
K. Kronholm,Kenneth Kronholm,United States,Chicago Fire
J. Holland,James Holland,Australia,LASK Linz
P. Šteinbors,Pāvels Šteinbors,Latvia,Arka Gdynia
A. Konradsen,Anders Ågnes  Konradsen,Norway,Rosenborg BK
S. Privat,Sloan Privat,France,FC Sochaux-Montbéliard
S. Hain,Stephan Hain,Germany,SpVgg Unterhaching
Shin Hyung Min,신형민 辛炯珉,Korea Republic,Jeonbuk Hyundai Motors
Z. Sadaev,Zaur Sadaev,Russia,MKE Ankaragücü
F. Sammaritano,Frédéric Sammaritano,France,Dijon FCO
T. Oar,Tommy Oar,Australia,Central Coast Mariners
M. Yatabaré,Mustapha Yatabaré,Mali,Sivasspor
J. Flum,Johannes Flum,Germany,FC St. Pauli
W. Rémy,William Rémy,France,Legia Warszawa
M. Pektemek,Mustafa Pektemek,Turkey,Kasimpaşa SK
D. Fettouhi,Driss Fettouhi,Morocco,Al Hazem
M. Iajour,Mouhssine Iajour,Morocco,Damac FC
Fidel,Fidel Chaves de la Torre,Spain,Elche CF
A. Esswein,Alexander Esswein,Germany,Hertha BSC
S. Colombi,Simone Colombi,Italy,Parma
Aridane,Aridane Hernández Umpiérrez,Spain,CA Osasuna
M. Schäffler,Manuel Schäffler,Germany,SV Wehen Wiesbaden
Renato Chaves,Renato de Araújo Chaves Júnior,Brazil,Al Wehda
M. El Kabir,Moestafa El Kabir,Morocco,Çaykur Rizespor
R. Köse,Ramazan Köse,Turkey,Kasimpaşa SK
R. Gucher,Robert Gucher,Austria,Pisa
P. Coutts,Paul Coutts,Scotland,Fleetwood Town
L. Taylor,Lyle Taylor,Montserrat,Charlton Athletic
D. de Buen,Diego Eduardo De Buen Juárez,Mexico,Santos Laguna
D. Hoesen,Danny Hoesen,Netherlands,San Jose Earthquakes
G. Sertic,Grégory Sertic,France,Olympique de Marseille
Y. El Ghanassy,Yassine El Ghanassy,Belgium,FC Nantes
Mossa,José María Angresola Jiménez,Spain,Real Oviedo
G. Zusi,Graham Zusi,United States,Sporting Kansas City
F. Zuculini,Franco Zuculini,Argentina,Venezia FC
G. Sauro,Gastón Sauro,Argentina,Deportivo Toluca
V. Pálsson,Guðlaugur Victor Pálsson,Iceland,SV Darmstadt 98
M. Terrazzino,Marco Terrazzino,Germany,SC Freiburg
M. Pourié,Marvin Pourié,Germany,Karlsruher SC
Rhayner,Rhayner Santos Nascimento,Brazil,Sanfrecce Hiroshima
A. Elmohamady,Ahmed Eissa  El Mohamady Abdel Fattah,Egypt,Aston Villa
J. Isijara,Jesús Antonio Isijara Rodríguez,Mexico,Club Atlas
F. N'Sakala,Fabrice N'Sakala,DR Congo,Alanyaspor
A. Uchida,内田 篤人,Japan,Kashima Antlers
Kwon Soon Hyung,권순형 权纯亨,Korea Republic,Jeju United FC
R. Grant,Rhyan Grant,Australia,Sydney FC
Magno,Magno Damasceno Santos da Cruz,Brazil,Jeju United FC
G. Gardner,Gary Gardner,England,Birmingham City
G. Kagelmacher,Gary Kagelmacher,Uruguay,KV Kortrijk
S. Jung,Sebastian Jung,Germany,Hannover 96
M. Rondón,Mario Rondón,Venezuela,CFR Cluj
Y. Ngbakoto,Yeni Ngbakoto,DR Congo,En Avant de Guingamp
A. Ajdarević,Astrit Ajdarević,Albania,Djurgårdens IF
I. Pillud,Iván Pillud,Argentina,Racing Club
O. Bayram,Ömer Bayram,Turkey,Galatasaray SK
F. Giefer,Fabian Giefer,Germany,FC Augsburg
P. Klingmann,Philipp Klingmann,Germany,SV Sandhausen
N. Colazo,Nicolás Colazo,Argentina,Rosario Central
I. Martić,Ivan Martić,Switzerland,Universitatea Craiova
I. Sylla,Idrissa Sylla,Guinea,KV Oostende
K. Leerdam,Kelvin Leerdam,Netherlands,Seattle Sounders FC
P. Škuletić,Petar Škuletić,Serbia,Montpellier HSC
M. Calderoni,Marco Calderoni,Italy,Lecce
Pedro Trigueira,Pedro José  da Silva Trigueira,Portugal,Moreirense FC
Escassi,Alberto Escassi Oliva,Spain,CD Numancia
M. Jacobs,Michael Jacobs,England,Wigan Athletic
W. Grigg,Will Grigg,Northern Ireland,Sunderland
T. Makino,槙野 智章,Japan,Urawa Red Diamonds
A. Baby,Amara Baby,Senegal,Royal Antwerp FC
D. Contento,Diego Armando Valentin Contento,Germany,Fortuna Düsseldorf
G. Hairemans,Geoffry Hairemans,Belgium,Royal Antwerp FC
A. Hayashi,林 昭大,Japan,FC Tokyo
I. Paurević,Ivan Paurević,Croatia,SV Sandhausen
A. Stevanović,Alen Stevanović,Switzerland,Wisła Płock
P. Testroet,Pascal Testroet,Germany,FC Erzgebirge Aue
R. Rojas,Juan Rodrigo Rojas Ovelar,Paraguay,Paraguay
R. Maiello,Raffaele Maiello,Italy,Frosinone
S. Clark,Steve Clark,United States,Portland Timbers
S. Dubarbier,Sebastián Dubarbier,Argentina,Club Atlético Banfield
X. Kouassi,Xavier Laglais Kouassi,Ivory Coast,FC Sion
G. Garza,Gregory Martin Garza Early,United States,FC Cincinnati
L. Mendoza,Luis Ángel Mendoza Escamilla,Mexico,Monarcas Morelia
F. Pogba,Florentin Pogba,Guinea,Atlanta United
J. Corona,Joe Benny Corona Crespín,United States,LA Galaxy
J. Madueña,José Antonio Madueña López,Mexico,Cruz Azul
L. Traoré,Lacina Traoré,Ivory Coast,CFR Cluj
A. Domínguez,Alexander Domínguez Carabalí,Ecuador,Vélez Sarsfield
A. Caracciolo,Antonio Aldo Caracciolo,Italy,US Cremonese
E. Lenjani,Ermir Lenjani,Albania,FC Sion
B. Dja Djédjé,Brice Dja Djédjé,Ivory Coast,Kayserispor
M. Riemann,Manuel Riemann,Germany,VfL Bochum 1848
T. Beermann,Timo Beermann,Germany,1. FC Heidenheim 1846
S. Çinaz,Şamil Çinaz,Germany,Kayserispor
T. Kempe,Tobias Kempe,Germany,SV Darmstadt 98
Claiton,Claiton Machado dos Santos,Brazil,US Cremonese
A. Sepúlveda,Ángel Baltazar Sepúlveda Sánchez,Mexico,Club Tijuana
Aridai,Aridai Cabrera Suárez,Spain,RCD Mallorca
W. Sobota,Waldemar Sobota,Poland,FC St. Pauli
R. Bonevacia,Roly Bonevacia,Curacao,Al Faisaly
R. van Rhijn,Ricardo van Rhijn,Netherlands,SC Heerenveen
F. Jozefzoon,Florian Jozefzoon,Netherlands,Derby County
Soares,William Soares da Silva,Brazil,Gil Vicente FC
B. Rienstra,Ben Rienstra,Netherlands,Kayserispor
L. Cavanda,Luis Pedro Cavanda,Belgium,Standard de Liège
K. D'Haene,Kristof D'Haene,Belgium,KV Kortrijk
Lee Yong,이용 李镕,Korea Republic,Jeonbuk Hyundai Motors
M. Quiroga,Mauro Quiroga,Argentina,Club Necaxa
A. Salvi,Alessandro Salvi,Italy,Frosinone
F. Ogier,Florent Ogier,France,Clermont Foot 63
D. Kaiser,Dominik Kaiser,Germany,Brøndby IF
S. Allan,Scott Allan,Scotland,Hibernian
A. La Mantia,Andrea La Mantia,Italy,Lecce
Álvaro Vázquez,Álvaro Vázquez García,Spain,Real Sporting de Gijón
E. Kachunga,Elias Kachunga,DR Congo,Huddersfield Town
M. Korhut,Mihály Korhut,Hungary,Hungary
B. Baráth,Botond Baráth,Hungary,Sporting Kansas City
M. Camporese,Michele Camporese,Italy,Pordenone
Z. Valentin,Zarek  Valentin,Puerto Rico,Portland Timbers
M. Vilhjálmsson,Matthías Vilhjálmsson,Iceland,Vålerenga Fotball
A. Gogia,Akaki Gogia,Germany,1. FC Union Berlin
Kim Eun Sun,김은선 金殷善,Korea Republic,Central Coast Mariners
E. Asante,Ernest Kwabena Asante,Ghana,Al Hazem
H. Abd Elhamed,Hatem Abd Elhamed,Israel,Celtic
D. Horgan,Daryl Horgan,Republic of Ireland,Hibernian
N. Wells,Nahki Wells,Bermuda,Queens Park Rangers
N. Kebano,Neeskens Kebano,DR Congo,Fulham
Kim Kee Hee,김기희 金基熙,Korea Republic,Seattle Sounders FC
T. Kister,Tim Kister,Germany,SV Sandhausen
V. Sielis,Valentinos Sielis,Cyprus,Gangwon FC
S. Vergini,Santiago Vergini,Argentina,San Lorenzo de Almagro
M. Falzerano,Marcello Falzerano,Italy,Perugia
S. Diallo,Abdoulaye Sadio Diallo,Guinea,Gençlerbirliği SK
F. Raspentino,Florian Raspentino,France,Grenoble Foot 38
David Simón,David Simón Rodríguez Santana,Spain,Deportivo de La Coruña
C. Forsyth,Craig Forsyth,Scotland,Derby County
E. Gyasi,Edwin Gyasi,Ghana,FC Dallas
M. Smith,Michael Smith,Northern Ireland,Heart of Midlothian
T. Beugelsdijk,Tom Beugelsdijk,Netherlands,ADO Den Haag
C. Martina,Rhu-endly Martina,Curacao,Everton
D. Riascos,Duvier Orlando Riascos Barahona,Colombia,Universidad Católica
F. Kiss,Filip Kiss,Slovakia,Ettifaq FC
Igor Rossi,Igor Rossi Branco,Brazil,Al Faisaly
Luís Leal,Luís Leal dos Anjos,São Tomé & Príncipe,Newell's Old Boys
M. Kuhn,Moritz Kuhn,Germany,SV Wehen Wiesbaden
C. Jorquera,Cristóbal Andrés Jorquera Torres,Chile,CD Palestino
R. Pucino,Raffaele Pucino,Italy,Ascoli
S. Lundevall,Simon Lundevall,Sweden,IF Elfsborg
M. Stevanović,Miroslav Stevanović,Bosnia Herzegovina,Servette FC
N. Bitton,Nir Bitton,Israel,Celtic
A. Henríquez,Alexis Henríquez,Colombia,Atlético Nacional
R. Robayo,Rafael Robayo,Colombia,Atlético Bucaramanga
Felipe,Felipe Martins,Brazil,DC United
Shim Dong Woon,심원운 沈东云,Korea Republic,Sangju Sangmu FC
F. Holland,Fabian Holland,Germany,SV Darmstadt 98
T. Tawatha,Taleb Tawatha,Israel,Eintracht Frankfurt
M. Mantovani,Martín Maximiliano Mantovani,Argentina,UD Las Palmas
F. Starzyński,Filip Starzyński,Poland,Zagłębie Lubin
D. Blum,Danny Blum,Germany,VfL Bochum 1848
Q. Bernard,Quentin Bernard,France,AJ Auxerre
O. Hawsawi,Omar Ibrahim Omar Othman Hawsawi,Saudi Arabia,Al Nassr
Y. Al Shehri,Yahia Sulaiman Al Shehri,Saudi Arabia,Al Nassr
H. Al Moqahwi,Hussain Al Moqahwi,Saudi Arabia,Al Ahli
P. Iemmello,Pietro Iemmello,Italy,Perugia
A. Cadavid,Andrés Cadavid,Colombia,Independiente Medellín
L. Jiménez,Leiton Jiménez,Colombia,Tiburones Rojos de Veracruz
D. Sciaudone,Daniele Sciaudone,Italy,Cosenza
S. Muwashar,Salman Muwashar,Saudi Arabia,Al Ahli
M. Prietl,Manuel Prietl,Austria,DSC Arminia Bielefeld
José Mari,José María Martín Bejarano,Spain,Cádiz CF
Jang Hyeon Soo,장현수 张贤秀,Korea Republic,Al Hilal
Paulinho,Paulo Sérgio Mota,Portugal,AEK Athens
R. Cardozo,Rudy Alejandro Cardozo Fernández,Bolivia,Bolivia
T. Schütz,Tom Schütz,Germany,DSC Arminia Bielefeld
M. Hartmann,Marco Hartmann,Germany,SG Dynamo Dresden
B. Zolinski,Ben Zolinski,Germany,SC Paderborn 07
P. Heise,Philip Heise,Germany,Norwich City
Jung Seok Hwa,정석화 郑硕华,Korea Republic,Gangwon FC
Cifu,Miguel Ángel Garrido Cifuentes,Spain,Málaga CF
Jeong Jae Yong,정재용 郑在勇,Korea Republic,Pohang Steelers
Aderllan Santos,Aderllan de Jesus Santos,Brazil,Rio Ave FC
B. Sarr,Babacar Sarr,Senegal,Damac FC
Somália,Calmon Wergiton do Rosário,Brazil,Al Shabab
D. Peralta,Diego Arturo Peralta González,Colombia,Once Caldas
G. Mera,Germán  Mera Cáceres,Colombia,Junior FC
J. Cuadrado,José Fernando Cuadrado Romero,Colombia,Atlético Nacional
R. Caroca,Rafael Antonio Caroca Cordero,Chile,Universidad de Chile
C. Vilches,Christian Alberto Vilches González,Chile,Unión La Calera
A. Andrade,Andrés Felipe Andrade Torres,Colombia,Club Atlas
J. Blanco,Jean Carlos Blanco Becerra,Colombia,Unión Magdalena
S. Ubilla,Sebastián Andrés Ubilla Cambón,Chile,Universidad de Chile
C. Arboleda,Carlos Mario Arboleda Ampudia,Colombia,Independiente Santa Fe
R. Torres,Román Aureliano Torres Morcillo,Panama,Seattle Sounders FC
E. Blanco,Elkin Blanco Rivas,Colombia,Atlético Bucaramanga
J. Angulo,Juan Camilo Angulo Villegas,Colombia,Deportivo Cali
M. Cerato,Maximiliano Iván Ceratto,Argentina,CD Everton de Viña del Mar
R. Fernández,Ronnie Alan Fernández Sáez,Chile,Al Fayha
R. Farfán,Ruben Ignacio Farfan Arancibia,Chile,Coquimbo Unido
J. Caicedo,Juan Caicedo,Colombia,New England Revolution
M. Ibáñez,Matías Ibáñez,Argentina,Patronato
F. Meza,Fernando Meza,Argentina,Club Necaxa
P. Alvarado,Pablo Alvarado,Argentina,Unión La Calera
M. Bogado,Mauro Bogado,Argentina,Club Atlético Huracán
L. Desábato,Leandro Desábato,Argentina,Cerezo Osaka
W. Camacho,Washington Camacho,Uruguay,Club Tijuana
F. Cerro,Francisco Cerro,Argentina,Defensa y Justicia
L. Lollo,Luciano Lollo,Argentina,Club Atlético Banfield
M. Cauteruccio,Martín Cauteruccio,Uruguay,Cruz Azul
M. Dal Hende,Marc Dal Hende,Denmark,FC Midtjylland
R. Gagliolo,Riccardo Gagliolo,Italy,Parma
M. Barragán,Martín Barragán Negrete,Mexico,U.N.A.M.
J. Domínguez,Juan Guillermo Domínguez Cabezas,Colombia,Alianza Petrolera
Gabriel,Gabriel Rodrigues de Moura,Brazil,Dinamo Bucureşti
F. Adi,Fanendo Adi,Nigeria,FC Cincinnati
Y. Cabrera,Yesus Segundo Cabrera Ramírez,Colombia,América de Cali
Eric,Eric de Oliveira Pereira,Brazil,FC Viitorul
S. Popov,Strahil Venkov Popov,Bulgaria,Kasimpaşa SK
Leandro Pereira,Leandro Marcos Pereira,Brazil,Sanfrecce Hiroshima
H. Yamaguchi,山口 蛍,Japan,Vissel Kobe
M. Saito,齋藤 学,Japan,Kawasaki Frontale
Y. Kakitani,柿谷 曜一朗,Japan,Cerezo Osaka
C. Penilla,Cristian Penilla,Ecuador,New England Revolution
H. Arslan,Hakan Arslan,Turkey,Sivasspor
Zé Manuel,José Manuel da Silva Oliveira,Portugal,Santa Clara
E. Loeschbor,Emanuel Loeschbor,Argentina,Monarcas Morelia
João Afonso,João Ricardo da Silva Afonso,Portugal,Santa Clara
Y. Bammou,Yacine Bammou,Morocco,Alanyaspor
M. Riquelme,Marcos Daniel Riquelme,Argentina,Universidad de Chile
M. Gori,Mirko Gori,Italy,Frosinone
J. Sánchez,James Amilkar Sánchez Altamiranda,Colombia,Junior FC
Cai Huikang,蔡慧康,China PR,Shanghai SIPG FC
Rafael Defendi,Rafael  Garcia Tonioli Defendi,Brazil,Famalicão
Guilherme Sityá,Guilherme Haubert Sityá,Brazil,Jagiellonia Białystok
V. Malcorra,Víctor Ignacio Malcorra,Argentina,U.N.A.M.
Ricardo Lopes,Ricardo Lopes Pereira,Brazil,Jeonbuk Hyundai Motors
A. Ashraf,Ayman Ashraf,Egypt,Egypt
E. Farias,Edder Farias,Venezuela,Junior FC
J. Berthomier,Jason Berthomier,France,Clermont Foot 63
M. Tahrat,Mehdi Jean Tahrat,Algeria,Abha Club
P. Bartolomei,Paolo Bartolomei,Italy,Spezia
A. Zhirov,Aleksandr Zhirov,Russia,SV Sandhausen
P. Rojas,Pablo José Rojas Cardales,Colombia,Jaguares de Córdoba
Marco Baixinho,Marco João Costa Baixinho,Portugal,FC Paços de Ferreira
A. Al Bulayhi,Ali Al Bulayhi,Saudi Arabia,Al Hilal
Victor Fachinhas,Martin Victor Álvares Fachini,Brazil,Ceará Sporting Club
Breno Bemposta,Breno Evandro Bemposta Dimas,Brazil,Ceará Sporting Club
Marlinito Dias,Marlon Rômulo Dias Cavalcanti,Brazil,Cruzeiro
Edsinho Torres,Edson Gérson Torres Guerra,Brazil,Avaí FC
Flávio Rebeilo,Flávio Raphael Rebeilo Mestres,Brazil,Santos
Daguinho Parrela,Dagoberto Josué Pinho Parrela,Brazil,Internacional
Bernardo Motinho,Bernardo Joshua Mota Damasco,Brazil,Cruzeiro
Milton Menceiros,Milton Boas Menceiros Cunha,Brazil,Ceará Sporting Club
Eltson Marques,Elton Matheus Marques Paiva,Brazil,Internacional
Barbosaldinho,Luciano Renato Barbosa Baumer,Brazil,Chapecoense
Lourival Dinisco,Lourival Adnan Diniz Prazeres,Brazil,Fortaleza
Ansel Barnisco,Anselmo Túlio Marques Barni,Brazil,Fortaleza
Alam Basteirinho,Marcos Alam Bastos Domingues,Brazil,Santos
Renaldo Justinho,Renaldo Lorenzo Justinho Neves,Brazil,Botafogo
Macarinho Louro,Macario André Louro Padilha,Brazil,Bahia
Raphael Paneira,Raphael William Paneira Rochedo,Brazil,Grêmio
